network,entropy,,
0,10.74194717,0,10.7877903
0,10.72704124,0,10.79029179
0,8.619766235,0,8.715268135
1,10.72885323,,
1,10.76581097,,
1,10.74689674,,
1,10.71300983,,
1,10.7344389,,
1,10.6661768,,
1,10.77863693,,
1,10.56478786,,
1,10.76073265,,
1,10.7269392,,
1,10.76396561,,
1,10.7940979,,
1,10.74521732,,
1,10.72188759,,
1,10.77438545,,
1,10.7722578,,
1,10.64401054,,
1,10.72659111,,
1,10.71855354,,
1,10.7326355,,
1,10.74636269,,
1,10.63998413,,
1,10.73552704,,
1,10.7099247,,
1,10.73058891,,
1,10.69826698,,
1,10.69311333,,
1,10.20524597,,
1,10.62913132,,
1,10.74338341,,
1,10.76636887,,
1,10.7081089,,
1,10.70434666,,
1,10.38623619,,
1,10.62739182,,
1,10.75379753,,
1,10.7114954,,
1,10.73906994,,
1,10.74778175,,
1,10.57838535,,
1,10.76295185,,
1,10.73770809,,
1,10.65332985,,
1,10.75511932,,
1,10.50453758,,
1,10.74012566,,
1,10.76827812,,
1,10.66778183,,
1,10.69111824,,
1,10.72044373,,
1,10.39091873,,
1,10.76660156,,
1,10.65442085,,
1,10.75604153,,
1,10.6776886,,
1,10.73497105,,
1,10.71400833,,
1,10.784688,,
1,10.73543167,,
1,10.66576767,,
1,10.7294836,,
1,10.75378513,,
1,10.74632263,,
1,10.7461853,,
1,10.7177906,,
1,10.79997063,,
1,10.78005505,,
1,10.72813702,,
1,10.67387676,,
1,10.67533684,,
1,10.74931526,,
1,10.5966177,,
1,10.69991684,,
1,10.63225555,,
1,10.54020977,,
1,10.74073601,,
1,10.77190781,,
1,10.71737194,,
1,8.726678848,,
2,10.70745659,,
2,10.7150116,,
2,10.68353176,,
2,10.67927837,,
2,10.74194908,,
2,10.7110939,,
2,10.6555624,,
2,10.70223427,,
2,10.73454762,,
2,10.73155403,,
2,10.6589489,,
2,10.73597431,,
2,10.76010513,,
2,10.73970222,,
2,10.8021431,,
2,10.76599693,,
2,10.74579239,,
2,10.66013813,,
2,10.75499821,,
2,10.70615959,,
2,10.79855537,,
2,10.77819252,,
2,10.79125786,,
2,10.80198193,,
2,10.67292118,,
2,10.77806854,,
2,10.6709547,,
2,10.73245239,,
2,10.63739777,,
2,10.58981419,,
2,10.76919174,,
2,10.74165249,,
2,10.74881554,,
2,10.75096416,,
2,10.74129486,,
2,10.72836113,,
